Place,Date,Vehicles Involved,Fatalities,Injuries,Cause
in Kurigram,", 45","bus, bus, bus, truck, bus",9,5,Unknown
at Barguna,-10,,1,1,Unknown
in Damurhuda, 13,,4,0,Unknown
in Gaibandha, 11,bus,1,1,Unknown
in Mirpur,", 36","bus, bus, bus, bus",2,0,Unknown
in Debidwar,", 17","truck, truck, truck, truck",4,3,Unknown
on Dhaka-Tangail,", 24",bus,5,0,Unknown
in Kushtia,",60",,2,3,Unknown
in Hakimpur,", 26","bus, motorcycle",2,4,Unknown
on Kushtia-Ishwardi,", 51","truck, truck, truck",4,2,Unknown
on Thursday, 55,"truck, truck, motorcycle, truck",2,0,Unknown
in Manirampur,", 55",,3,0,Unknown
in Tangail,", 24","motorcycle, motorcycle, motorcycle",4,0,Unknown
on Mayor Hanif,", 68",,1,3,Unknown
in Mymensingh,", 45","truck, truck",3,1,Unknown
in Dhaka,", 36","truck, truck",1,1,Unknown
in Faridpur,", 18",motorcycle,3,4,Unknown
in Natore,", 60","bus, motorcycle, bus",3,2,Unknown
in Rupganj, 10,,2,3,Unknown
at Lichutala,", 45","bus, bus",2,3,Unknown
on Chattogram-Cox,", 34","bus, bus, bus, bus",4,0,Unknown
in Banani,", 30","car, motorcycle",3,2,Unknown
on Dhaka-Chattogram, 15,"bus, bus",3,4,Unknown
in Kaliakair,", 32",motorcycle,1,1,Unknown
in Dhaka,", 30","truck, bus, bus",2,1,Unknown
on Dhaka-Sylhet, 10,,2,3,Unknown
in Kuliarchar,", 26","bus, bus",4,3,Unknown
in Kaptai,", 20",,1,2,Unknown
at Chuadanga,",50","truck, truck",6,1,Unknown
in Rewa, 15,"bus, truck, bus, bus, truck",2,2,Unknown
on Wednesday,", 32",,5,2,Unknown
on Saturday,", 60",,1,0,Unknown
in Gazipur,", 45","bus, bus, bus, bus",3,0,Unknown
in Gazipur,", 20",,0,4,Unknown
in Araihazar,Unknown,"bus, bus",3,2,Unknown
at Bangabaria Bazar, 15,,0,0,Unknown
in Sylhet,00,,1,2,Unknown
at Jashore Sadar,15,"truck, motorcycle, truck, motorcycle",3,0,Unknown
at Banani, 17,,1,1,Unknown
in Chandra Dighalia, 15,"bus, bus",3,3,Unknown
at Nalchata,", 50",car,3,1,Unknown
in Lakhimpur Kheri, 25,"bus, truck, bus, truck",1,4,Unknown
in Natore, 25,,1,0,Unknown
on Thursday,", 54","truck, truck",3,1,Unknown
in Ashulia, 29,,3,2,Unknown
in Cumilla,", 35","bus, bus, bus",4,3,Unknown
in Chattogram, 10,bus,4,2,Unknown
in Dinajpur Later,", 18",,2,1,Unknown
in Tongi Vehicular, 10,"bus, bus",2,3,Unknown
on Rangpur-Dinajpur, 50,"bus, bus",3,4,Unknown
on Saturday, 24,"truck, bus, bus, bus, truck, bus, bus, bus",2,4,Unknown
on Sylhet-Jakiganj,", 72",,6,4,Unknown
in Bottola,15,,1,1,Unknown
in Durgapur,", 30","motorcycle, motorcycle",4,0,Unknown
on Dhaka-Barishal,", 63","bus, bus, bus",4,3,Unknown
in Ukhiya,", 45","truck, truck",6,5,Unknown
in Bandar," ,18",,3,1,Unknown
in Saudi Arabia,", 23","car, car",5,2,Unknown
on Radipara,15,"truck, truck",3,0,Unknown
in Winter, 2016,"motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle",1,1,Unknown
in Nakla, 11,"truck, truck, truck, truck, truck",3,1,Unknown
in Dinajpur,Unknown,"truck, truck, truck, truck",2,0,Unknown
in Pakistan, 15,"bus, bus, car, bus",5,2,Unknown
at Prime Print, 15,,0,0,Unknown
on Friday, 11,,0,0,Unknown
on Saturday, 20,"truck, truck",2,4,Unknown
in Dhaka,", 50","car, car, car",1,1,Unknown
